logged_at,cycle_date,component,run_mode,outcome,reason,email_attempted,email_sent,c7_invoked,smtp_config_read,smtp_config_modified,broker_connected,broker_account_read,order_code_created
2026-07-23T23:51:42-04:00,2026-07-23,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-23T23:51:43-04:00,2026-07-23,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-23T23:51:43-04:00,2026-07-23,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-23T23:51:43-04:00,2026-07-23,daily_pipeline,protected_no_send,passed,daily_refresh_and_decision_complete,no,no,no,no,no,no,no,no
2026-07-23T23:55:37-04:00,2026-07-23,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-23T23:55:38-04:00,2026-07-23,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-23T23:55:38-04:00,2026-07-23,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-23T23:55:38-04:00,2026-07-23,daily_pipeline,protected_no_send,passed,daily_refresh_and_decision_complete,no,no,no,no,no,no,no,no
2026-07-23T23:56:31-04:00,2026-07-23,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-23T23:56:31-04:00,2026-07-23,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-24T00:03:23-04:00,2026-07-24,daily_decision,compose_no_send,passed,data_gate_hold,no,no,no,no,no,no,no,no
2026-07-24T00:04:06-04:00,2026-07-24,daily_decision,compose_no_send,passed,data_gate_hold,no,no,no,no,no,no,no,no
2026-07-24T11:20:29-04:00,2026-07-24,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-24T11:20:36-04:00,2026-07-24,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-24T11:20:36-04:00,2026-07-24,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-24T12:52:01-04:00,2026-07-24,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-24T12:52:05-04:00,2026-07-24,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-24T12:52:05-04:00,2026-07-24,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-24T17:40:28-04:00,2026-07-24,evidence_refresh,live_public_read,failed,held_ticker_sec_scan_failed,no,no,no,no,no,no,no,no
2026-07-24T17:44:28-04:00,2026-07-24,daily_decision,compose_no_send,passed,data_gate_hold,no,no,no,no,no,no,no,no
2026-07-24T17:44:28-04:00,2026-07-24,daily_refresh,public_research_no_send,degraded_decision_created,"dynamic_weights,cash_plan,portfolio_outputs,official_evidence,price_aware_review",no,no,no,no,no,no,no,no
2026-07-24T19:12:16-04:00,2026-07-24,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-24T19:12:21-04:00,2026-07-24,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-24T19:12:21-04:00,2026-07-24,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-24T19:12:23-04:00,2026-07-24,daily_sender,send,sent,smtp_send_completed,yes,yes,no,yes,no,no,no,no
2026-07-24T19:12:23-04:00,2026-07-24,daily_pipeline,scheduled_send,passed,email_sent=true message_count=1 automatic_retry=false,yes,yes,no,no,no,no,no,no
2026-07-24T19:13:50-04:00,2026-07-24,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-24T19:13:57-04:00,2026-07-24,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-24T19:13:57-04:00,2026-07-24,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-24T23:21:29-04:00,2026-07-24,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-24T23:21:29-04:00,2026-07-24,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-24T23:21:29-04:00,2026-07-24,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-25T00:02:19-04:00,2026-07-25,evidence_refresh,live_public_read,failed,held_ticker_sec_scan_failed,no,no,no,no,no,no,no,no
2026-07-25T00:03:47-04:00,2026-07-25,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-25T12:48:00-04:00,2026-07-25,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-25T12:48:06-04:00,2026-07-25,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-25T12:48:06-04:00,2026-07-25,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-25T21:49:05-04:00,2026-07-25,evidence_refresh,live_public_read,failed,held_ticker_sec_scan_failed,no,no,no,no,no,no,no,no
2026-07-25T21:49:07-04:00,2026-07-25,daily_decision,compose_no_send,passed,data_gate_hold,no,no,no,no,no,no,no,no
2026-07-25T21:49:07-04:00,2026-07-25,daily_refresh,public_research_no_send,degraded_decision_created,"portfolio_outputs,official_evidence,price_aware_review",no,no,no,no,no,no,no,no
2026-07-25T21:49:08-04:00,2026-07-25,daily_sender,send,delivery_unknown,smtp_exception_after_claim,yes,unknown,no,yes,no,no,no,no
2026-07-25T21:49:08-04:00,2026-07-25,daily_pipeline,scheduled_send,sender_nonzero,email_sent=unknown reason=smtp_exception_after_claim automatic_retry=false,yes,unknown,no,no,no,no,no,no
2026-07-26T15:20:37-04:00,2026-07-26,evidence_refresh,live_public_read,failed,sec_ticker_map_unavailable,no,no,no,no,no,no,no,no
2026-07-26T15:20:39-04:00,2026-07-26,daily_decision,compose_no_send,passed,data_gate_hold,no,no,no,no,no,no,no,no
2026-07-26T15:20:39-04:00,2026-07-26,daily_refresh,public_research_no_send,degraded_decision_created,"portfolio_outputs,official_evidence,price_aware_review",no,no,no,no,no,no,no,no
2026-07-26T18:41:43-04:00,2026-07-26,evidence_refresh,live_public_read,failed,sec_ticker_map_unavailable,no,no,no,no,no,no,no,no
2026-07-26T18:41:47-04:00,2026-07-26,daily_decision,compose_no_send,passed,data_gate_hold,no,no,no,no,no,no,no,no
2026-07-26T18:41:47-04:00,2026-07-26,daily_refresh,public_research_no_send,degraded_decision_created,"portfolio_outputs,official_evidence,price_aware_review",no,no,no,no,no,no,no,no
2026-07-26T18:41:48-04:00,2026-07-26,daily_sender,send,suppressed,weekend_no_material_change,no,no,no,no,no,no,no,no
2026-07-26T18:41:48-04:00,2026-07-26,daily_pipeline,scheduled_send,passed,email_sent=false reason=weekend_no_material_change smtp_config_read=false,no,no,no,no,no,no,no,no
2026-07-27T08:18:24-04:00,2026-07-27,evidence_refresh,live_public_read,failed,sec_ticker_map_unavailable,no,no,no,no,no,no,no,no
2026-07-27T08:18:28-04:00,2026-07-27,daily_decision,compose_no_send,passed,data_gate_hold,no,no,no,no,no,no,no,no
2026-07-27T08:18:28-04:00,2026-07-27,daily_refresh,public_research_no_send,degraded_decision_created,"portfolio_outputs,official_evidence,price_aware_review",no,no,no,no,no,no,no,no
2026-07-27T13:41:32-04:00,2026-07-27,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-27T13:41:42-04:00,2026-07-27,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-27T13:41:42-04:00,2026-07-27,daily_refresh,public_research_no_send,degraded_decision_created,portfolio_outputs,no,no,no,no,no,no,no,no
2026-07-27T17:03:09-04:00,2026-07-27,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-27T17:03:15-04:00,2026-07-27,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-27T17:03:15-04:00,2026-07-27,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-27T18:01:27-04:00,2026-07-27,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-27T18:01:35-04:00,2026-07-27,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-27T18:01:35-04:00,2026-07-27,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-27T19:01:50-04:00,2026-07-27,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-27T19:01:56-04:00,2026-07-27,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-27T19:01:56-04:00,2026-07-27,daily_refresh,public_research_no_send,passed,complete,no,no,no,no,no,no,no,no
2026-07-27T19:01:59-04:00,2026-07-27,daily_sender,send,sent,smtp_send_completed,yes,yes,no,yes,no,no,no,no
2026-07-27T19:01:59-04:00,2026-07-27,daily_pipeline,scheduled_send,passed,email_sent=true message_count=1 automatic_retry=false,yes,yes,no,no,no,no,no,no
2026-07-28T08:52:22-04:00,2026-07-28,evidence_refresh,live_public_read,failed,held_ticker_sec_scan_failed,no,no,no,no,no,no,no,no
2026-07-28T08:52:29-04:00,2026-07-28,daily_decision,compose_no_send,passed,data_gate_hold,no,no,no,no,no,no,no,no
2026-07-28T08:52:29-04:00,2026-07-28,daily_refresh,public_research_no_send,degraded_decision_created,"portfolio_outputs,official_evidence,price_aware_review",no,no,no,no,no,no,no,no
2026-07-28T13:24:43-04:00,2026-07-28,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-28T13:24:47-04:00,2026-07-28,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-28T13:24:47-04:00,2026-07-28,daily_refresh,public_research_no_send,degraded_decision_created,portfolio_outputs,no,no,no,no,no,no,no,no
2026-07-28T16:39:49-04:00,2026-07-28,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-28T16:39:53-04:00,2026-07-28,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-28T16:39:53-04:00,2026-07-28,daily_refresh,public_research_no_send,degraded_decision_created,portfolio_outputs,no,no,no,no,no,no,no,no
2026-07-28T18:36:06-04:00,2026-07-28,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-28T18:36:15-04:00,2026-07-28,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-28T18:36:15-04:00,2026-07-28,daily_refresh,public_research_no_send,degraded_decision_created,portfolio_outputs,no,no,no,no,no,no,no,no
2026-07-28T18:36:19-04:00,2026-07-28,daily_sender,send,sent,smtp_send_completed,yes,yes,no,yes,no,no,no,no
2026-07-28T18:36:19-04:00,2026-07-28,daily_pipeline,scheduled_send,passed,email_sent=true message_count=1 automatic_retry=false,yes,yes,no,no,no,no,no,no
2026-07-28T18:40:10-04:00,2026-07-28,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-28T18:40:13-04:00,2026-07-28,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-28T18:40:13-04:00,2026-07-28,daily_refresh,public_research_no_send,degraded_decision_created,portfolio_outputs,no,no,no,no,no,no,no,no
2026-07-29T08:28:56-04:00,2026-07-29,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-29T08:28:59-04:00,2026-07-29,daily_decision,compose_no_send,passed,data_gate_hold,no,no,no,no,no,no,no,no
2026-07-29T08:28:59-04:00,2026-07-29,daily_refresh,public_research_no_send,degraded_decision_created,portfolio_outputs,no,no,no,no,no,no,no,no
2026-07-29T13:34:32-04:00,2026-07-29,evidence_refresh,live_public_read,passed,complete,no,no,no,no,no,no,no,no
2026-07-29T13:34:35-04:00,2026-07-29,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-29T13:34:35-04:00,2026-07-29,daily_refresh,public_research_no_send,degraded_decision_created,portfolio_outputs,no,no,no,no,no,no,no,no
2026-07-29T17:19:47-04:00,2026-07-29,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-29T17:19:47-04:00,2026-07-29,daily_refresh,public_research_no_send,degraded_decision_created,"portfolio_outputs,official_evidence",no,no,no,no,no,no,no,no
2026-07-29T17:50:17-04:00,2026-07-29,daily_decision,compose_no_send,passed,hold_no_new_position,no,no,no,no,no,no,no,no
2026-07-29T17:50:18-04:00,2026-07-29,daily_refresh,public_research_no_send,degraded_decision_created,"portfolio_outputs,official_evidence",no,no,no,no,no,no,no,no
2026-07-30T00:31:23-04:00,2026-07-30,evidence_refresh,live_public_read,failed,held_ticker_sec_scan_failed,no,no,no,no,no,no,no,no
